EVTYPE,"DEATHS, %","INJURIES, %","PROP, %","CROP, %"
ASTRONOMICAL LOW TIDE,0,0,0,0
AVALANCHE,0.24,0.18,0,0
BLIZZARD,0.12,0.92,0.26,0.05
COASTAL FLOOD,0.01,0.01,0.13,0
COLD/WIND CHILL,0.17,0.07,0.02,0.03
DEBRIS FLOW,0.05,0.06,0.09,0
DENSE FOG,0.08,1.15,0.01,0
DENSE SMOKE,0,0,0,0
DROUGHT,0.03,0,0.31,4.26
DUST DEVIL,0,0.05,0,0
DUST STORM,0.02,0.46,0,0
EXCESSIVE HEAT,2.12,7.11,0,0.14
EXTREME COLD/WIND CHILL,0.31,0.27,0.05,0.44
FLASH FLOOD,1.1,2.2,4.93,0.44
FLOOD,0.49,7.17,10.14,3.5
FREEZING FOG,0,0,0,0
FROST/FREEZE,0.02,0,0.01,0.58
FUNNEL CLOUD,0,0,0,0
HAIL,0,1.45,3.46,0.58
HEAT,1.2,2.65,0,0.14
HEAVY RAIN,0.11,0.34,1.11,0.25
HEAVY SNOW,0.16,1.14,0.32,0.03
HIGH SURF,0.18,0.27,0.03,0
HIGH WIND,0.21,1.46,1.7,0.21
HURRICANE (TYPHOON),0.14,1.41,24.47,1.66
ICE STORM,0.1,2.12,1.2,1.82
LAKE-EFFECT SNOW,0,0,0.01,0
LAKESHORE FLOOD,0,0,0,0
LIGHTNING,0.8,5.46,0.29,0
MARINE HAIL,0,0,0,0
MARINE HIGH WIND,0.01,0.03,0,0
MARINE STRONG WIND,0.02,0.03,0,0
MARINE THUNDERSTORM WIND,0,0,0,0
RIP CURRENT,0.59,0.56,0,0
SEICHE,0,0,0,0
SLEET,0.01,0,0,0
STORM SURGE/TIDE,0.03,0.05,13.13,0
STRONG WIND,0.13,0.45,0.05,0.04
THUNDERSTORM WIND,0,7.55,2.26,0.38
TORNADO,2.34,39.14,13.73,0.05
TROPICAL DEPRESSION,0,0,0,0
TROPICAL STORM,0.07,0.4,2.32,0.2
TSUNAMI,0.03,0.14,0.04,0
VOLCANIC ASH,0,0,0,0
WATERSPOUT,0,0.07,0.01,0
WILDFIRE,0.09,1.68,2.52,0.11
WINTER STORM,0.27,1.77,2.44,0
WINTER WEATHER,0.08,0.83,0.02,0.03
